END_ID;latitude;longitude;SUBCLASS;SUBHIERARQUIA;NOME DO PRÉDIO;NE NAME;REGIONAL;UF;Testes Programados GMG;MANTENEDORA;ATENDIMENTO;LOCALIDADE;TIPO ;DETENTOR DA ÁREA;TIPO DE INFRA;TIPO DE ABRIGO ;OWNER RESPONSÁVEL;Resp. Green;CLASSIFICAÇÃO;Elemento de rede;TIPOLOGIA TRANSPORTE;REGIONAL_OLD;TIPO DE CONTRATO DA ÁREA;TIPO DE ABRIGO;ENDEREÇO;LATITUDE;LONGITUDE;CLASSFICAÇÃO GSBI
SPCAS_0072;-22,89194;-47,06111;;;;;;;;;;;;;;;;;;;;;;;;;;
PRPGO_0031;-25,10363;-50,10196;;;;;;;;;;;;;;;;;;;;;;;;;;
RSTSS_0001;-29,504;-50,77564;;;;;;;;;;;;;;;;;;;;;;;;;;
MGJFA_0034;-21,68044;-43,44653;;;;;;;;;;;;;;;;;;;;;;;;;;
AMMNS_0084;-3,06453;-60,02089;;;;;;;;;;;;;;;;;;;;;;;;;;
PERCE_0151;-8,06356;-34,87669;;;;;;;;;;;;;;;;;;;;;;;;;;
MGLAV_0006;-21,26278;-44,98806;;;;;;;;;;;;;;;;;;;;;;;;;;
MGSND_0002;-21,46083;-43,545;;;;;;;;;;;;;;;;;;;;;;;;;;
RJCPS_0023;-22,89696;-43,17973;;;;;;;;;;;;;;;;;;;;;;;;;;
PRCKG_0007;-25,3425;-49,08306;;;;;;;;;;;;;;;;;;;;;;;;;;
SCFNS_0084;-27,46728;-48,37833;;;;;;;;;;;;;;;;;;;;;;;;;;
BAFSA_0008;-12,24889;-38,96272;;;;;;;;;;;;;;;;;;;;;;;;;;
BASMF_0006;-12,69311;-38,38792;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_0514;-22,85897;-43,39733;;;;;;;;;;;;;;;;;;;;;;;;;;
SCIMU_0001;-27,49586;-49,42308;;;;;;;;;;;;;;;;;;;;;;;;;;
PRPVA_0004;-23,07556;-52,46611;;;;;;;;;;;;;;;;;;;;;;;;;;
BACIP_0001;-11,09792;-38,51369;;;;;;;;;;;;;;;;;;;;;;;;;;
PBSRB_0003;-7,48439;-36,66072;;;;;;;;;;;;;;;;;;;;;;;;;;
PAAIU_0027;-1,38167;-48,39806;;;;;;;;;;;;;;;;;;;;;;;;;;
SPARQ_0017;-21,79239;-48,19331;;;;;;;;;;;;;;;;;;;;;;;;;;
MAITZ_0011;-5,53103;-46,48178;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJVE_0047;-26,33889;-48,83333;;;;;;;;;;;;;;;;;;;;;;;;;;
RNNTL_0079;-5,88181;-35,17383;;;;;;;;;;;;;;;;;;;;;;;;;;
SPOLA_0005;-20,7275;-48,90167;;;;;;;;;;;;;;;;;;;;;;;;;;
PBUIN_0001;-6,52251;-38,41224;;;;;;;;;;;;;;;;;;;;;;;;;;
BASDR_0182;-12,98644;-38,46731;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSJC_0077;-23,18867;-45,88597;;;;;;;;;;;;;;;;;;;;;;;;;;
PRAPS_0010;-23,38461;-51,41806;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_0778;-22,94247;-43,18142;;;;;;;;;;;;;;;;;;;;;;;;;;
RNSFT_0001;-6,00142;-38,16889;;;;;;;;;;;;;;;;;;;;;;;;;;
BAJCC_0001;-14,84392;-42,42864;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0901;-23,57956;-46,70531;;;;;;;;;;;;;;;;;;;;;;;;;;
MGRNS_0007;-19,74433;-44,15036;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_1794;-22,90679;-43,25518;;;;;;;;;;;;;;;;;;;;;;;;;;
BAALH_0004;-12,13556;-38,41917;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMCO_0106;-9,62169;-35,72997;;;;;;;;;;;;;;;;;;;;;;;;;;
MGMCL_0026;-16,82361;-43,86556;;;;;;;;;;;;;;;;;;;;;;;;;;
SPBTU_0013;-22,93278;-48,46536;;;;;;;;;;;;;;;;;;;;;;;;;;
SPGAPE0002;-21,74953;-48,396;;;;;;;;;;;;;;;;;;;;;;;;;;
MABBL_0002;-4,21447;-44,78833;;;;;;;;;;;;;;;;;;;;;;;;;;
PASRM_0010;-2,43917;-54,71667;;;;;;;;;;;;;;;;;;;;;;;;;;
PBAGY_0001;-7,09308;-38,16836;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0879;-23,53106;-46,71969;;;;;;;;;;;;;;;;;;;;;;;;;;
SPJAY_0002;-20,88181;-49,57011;;;;;;;;;;;;;;;;;;;;;;;;;;
RSSAEX0001;-27,90472;-51,64444;;;;;;;;;;;;;;;;;;;;;;;;;;
